#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   159   0.466961E+04  -0.456381E+02   0.203666E-03  -0.456381E+02   0.103343E+01  -0.987681E-06   0.203666E-03  -0.987681E-06   0.713613E-07
   160   0.470039E+04  -0.454465E+02   0.201913E-03  -0.454465E+02   0.102491E+01  -0.972096E-06   0.201913E-03  -0.972096E-06   0.709613E-07
   161   0.473089E+04  -0.452285E+02   0.200179E-03  -0.452285E+02   0.101606E+01  -0.956401E-06   0.200179E-03  -0.956401E-06   0.705646E-07
   162   0.476110E+04  -0.449840E+02   0.198463E-03  -0.449840E+02   0.100691E+01  -0.940616E-06   0.198463E-03  -0.940616E-06   0.701711E-07
   163   0.479101E+04  -0.447126E+02   0.196765E-03  -0.447126E+02   0.997490E+00  -0.924762E-06   0.196765E-03  -0.924762E-06   0.697809E-07
   164   0.482061E+04  -0.444144E+02   0.195086E-03  -0.444144E+02   0.987792E+00  -0.908861E-06   0.195086E-03  -0.908861E-06   0.693939E-07
   165   0.484989E+04  -0.440890E+02   0.193425E-03  -0.440890E+02   0.977842E+00  -0.892934E-06   0.193425E-03  -0.892934E-06   0.690101E-07
   166   0.487883E+04  -0.437363E+02   0.191782E-03  -0.437363E+02   0.967661E+00  -0.877002E-06   0.191782E-03  -0.877002E-06   0.686295E-07
   167   0.490743E+04  -0.433562E+02   0.190157E-03  -0.433562E+02   0.957273E+00  -0.861086E-06   0.190157E-03  -0.861086E-06   0.682521E-07
   168   0.493568E+04  -0.429488E+02   0.188549E-03  -0.429488E+02   0.946700E+00  -0.845207E-06   0.188549E-03  -0.845207E-06   0.678778E-07
   169   0.496357E+04  -0.425139E+02   0.186959E-03  -0.425139E+02   0.935962E+00  -0.829388E-06   0.186959E-03  -0.829388E-06   0.675066E-07
   170   0.499109E+04  -0.420515E+02   0.185387E-03  -0.420515E+02   0.925076E+00  -0.813648E-06   0.185387E-03  -0.813648E-06   0.671384E-07
   171   0.501823E+04  -0.415613E+02   0.183833E-03  -0.415613E+02   0.914072E+00  -0.798009E-06   0.183833E-03  -0.798009E-06   0.667734E-07
   172   0.504500E+04  -0.410436E+02   0.182296E-03  -0.410436E+02   0.902970E+00  -0.782493E-06   0.182296E-03  -0.782493E-06   0.664114E-07
   173   0.507137E+04  -0.404980E+02   0.180776E-03  -0.404980E+02   0.891794E+00  -0.767120E-06   0.180776E-03  -0.767120E-06   0.660524E-07
   174   0.509734E+04  -0.399248E+02   0.179274E-03  -0.399248E+02   0.880566E+00  -0.751912E-06   0.179274E-03  -0.751912E-06   0.656964E-07
   175   0.512290E+04  -0.393239E+02   0.177788E-03  -0.393239E+02   0.869322E+00  -0.736889E-06   0.177788E-03  -0.736889E-06   0.653434E-07
   176   0.514804E+04  -0.386954E+02   0.176320E-03  -0.386954E+02   0.858078E+00  -0.722069E-06   0.176320E-03  -0.722069E-06   0.649934E-07
